country,country_id,year,type_of_violence,events_count,total,share
United States of America,2,2001,1,2,3,0.6666666666666666
United States of America,2,2001,3,1,3,0.3333333333333333
United States of America,2,2010,2,1,1,1
United States of America,2,2015,3,1,1,1
United States of America,2,2017,3,1,1,1
United States of America,2,2018,3,1,1,1
United States of America,2,2019,2,1,1,1
United States of America,2,2022,2,1,1,1
Canada,20,1994,2,3,3,1
Canada,20,1995,2,9,9,1
Canada,20,1996,2,1,1,1
Canada,20,1997,2,1,1,1
Canada,20,1998,2,9,9,1
Canada,20,1999,2,3,3,1
Canada,20,2000,2,8,8,1
Canada,20,2001,2,1,1,1
Haiti,41,1989,1,4,4,1
Haiti,41,1990,3,2,2,1
Haiti,41,1991,1,1,8,0.125
Haiti,41,1991,2,1,8,0.125
Haiti,41,1991,3,6,8,0.75
Haiti,41,1993,3,3,3,1
Haiti,41,1994,3,4,4,1
Haiti,41,1995,3,1,1,1
Haiti,41,1999,3,2,2,1
Haiti,41,2004,1,19,22,0.8636363636363636
Haiti,41,2004,3,3,22,0.13636363636363635
Haiti,41,2005,3,7,7,1
Haiti,41,2017,3,1,1,1
Haiti,41,2018,3,1,1,1
Haiti,41,2019,3,1,1,1
Haiti,41,2020,3,48,48,1
Haiti,41,2021,2,8,25,0.32
Haiti,41,2021,3,17,25,0.68
Haiti,41,2022,2,9,65,0.13846153846153847
Haiti,41,2022,3,56,65,0.8615384615384616
Haiti,41,2023,2,3,49,0.061224489795918366
Haiti,41,2023,3,46,49,0.9387755102040817
Haiti,41,2024,1,47,116,0.4051724137931034
Haiti,41,2024,2,4,116,0.034482758620689655
Haiti,41,2024,3,65,116,0.5603448275862069
Jamaica,51,1989,2,1,1,1
Jamaica,51,1994,2,1,1,1
Jamaica,51,2001,2,20,20,1
Jamaica,51,2002,2,7,7,1
Trinidad and Tobago,52,1990,1,3,3,1
Mexico,70,1989,3,2,2,1
Mexico,70,1990,3,3,3,1
Mexico,70,1992,2,2,3,0.6666666666666666
Mexico,70,1992,3,1,3,0.3333333333333333
Mexico,70,1993,2,3,3,1
Mexico,70,1994,1,10,12,0.8333333333333334
Mexico,70,1994,2,1,12,0.08333333333333333
Mexico,70,1994,3,1,12,0.08333333333333333
Mexico,70,1995,1,2,5,0.4
Mexico,70,1995,2,1,5,0.2
Mexico,70,1995,3,2,5,0.4
Mexico,70,1996,1,15,15,1
